gm_name,n_grams,counts,percent
,битумно эмульсионная,2,0.03575898444484177
,блок газобетонный,10,0.17879492222420884
,блок зажимов,2,0.03575898444484177
,брайт бруш,2,0.03575898444484177
,бронза округлая,3,0.05363847666726265
,бруса хвоя,2,0.03575898444484177
,брусок сухой,2,0.03575898444484177
,бухта отрез,2,0.03575898444484177
,васильково серый,2,0.03575898444484177
,ввг пнг,3,0.05363847666726265
,вгт вдак,13,0.2324333988914715
,вдак белоснежная,2,0.03575898444484177
,вдак интерьерная,3,0.05363847666726265
,вдак универсальная,2,0.03575898444484177
,вдак фасадная,3,0.05363847666726265
,вентиль термосмесительный,2,0.03575898444484177
,вилка каучук,2,0.03575898444484177
,виниловые флизелиновой,2,0.03575898444484177
,влагостойкая супербелая,2,0.03575898444484177
,влагостойкий danogips,2,0.03575898444484177
,вн вн,2,0.03575898444484177
,вн ртп,2,0.03575898444484177
,внутр армировка,4,0.07151796888968354
,внутренний rico,10,0.17879492222420884
,внутренних наружных,2,0.03575898444484177
,водонагреватель электрический,4,0.07151796888968354
,воды вр,5,0.08939746111210442
,возможностью подключения,2,0.03575898444484177
,войлочная крепления,4,0.07151796888968354
,волокнами бирсmix,3,0.05363847666726265
,ворсом молочный,2,0.03575898444484177
,восковой мелок,18,0.3218308600035759
,вр altstream,3,0.05363847666726265
,вр бабочка,6,0.1072769533345253
,вр вр,6,0.1072769533345253
,вр нр,4,0.07151796888968354
,вр ртп,15,0.26819238333631323
,врезной цилиндр,7,0.1251564455569462
,всесезонная основе,2,0.03575898444484177
,встраиваемое образное,2,0.03575898444484177
,встраиваемый дво,2,0.03575898444484177
,встроенной защёлкой,2,0.03575898444484177
,вт ip,3,0.05363847666726265
,вт лм,3,0.05363847666726265
,вуокса tdm,3,0.05363847666726265
,выключатель кл,3,0.05363847666726265
,газировка настоящих,3,0.05363847666726265
,газобетонный bonolit,10,0.17879492222420884
,гайкой шпилькой,2,0.03575898444484177
,гвс stout,2,0.03575898444484177
,генфир pg,2,0.03575898444484177
,гермес паропроницаемый,4,0.07151796888968354
,герметик гермес,4,0.07151796888968354
,герметик полиуретановый,6,0.1072769533345253
,герметик силиконовый,5,0.08939746111210442
,герметик универсальный,4,0.07151796888968354
,герметичный ответвительный,4,0.07151796888968354
,гибкая многослойная,3,0.05363847666726265
,гибкая подводка,11,0.19667441444662973
,гидроизоляция цементной,2,0.03575898444484177
,гиплан pg,2,0.03575898444484177
,гипсовая белая,2,0.03575898444484177
,гипсовая универсальная,2,0.03575898444484177
,гипсокартонный danogips,2,0.03575898444484177
,гипсокартонный влагостойкий,2,0.03575898444484177
,глад ворсом,6,0.1072769533345253
,гладкий лср,2,0.03575898444484177
,глубокомат текс,2,0.03575898444484177
,глубокоматовая база,2,0.03575898444484177
,глянцевая база,2,0.03575898444484177
,глянцевый кофе,2,0.03575898444484177
,голицынский керамический,20,0.3575898444484177
,головок stayer,2,0.03575898444484177
,гост tdm,2,0.03575898444484177
,гост мкм,7,0.1251564455569462
,готовые волна,2,0.03575898444484177
,гофрированный flex,7,0.1251564455569462
,грунт глубокопроникающий,2,0.03575898444484177
,грязезащитная нп,6,0.1072769533345253
,грязезащитная рк,2,0.03575898444484177
,грязезащитная рокко,4,0.07151796888968354
,грязезащитный нп,2,0.03575898444484177
,дб белый,2,0.03575898444484177
,дверные riccardi,3,0.05363847666726265
,дво лм,3,0.05363847666726265
,двусторонний тканевой,2,0.03575898444484177
,двухцветный керамический,2,0.03575898444484177
,декоретто формат,7,0.1251564455569462
,демокси bn,2,0.03575898444484177
,деревянная ручка,2,0.03575898444484177
,диск smirdex,2,0.03575898444484177
,диск алмазный,2,0.03575898444484177
,длин штуцер,3,0.05363847666726265
,доборная мебель,2,0.03575898444484177
,доборная планка,3,0.05363847666726265
,дорожка антискользящая,3,0.05363847666726265
,дорожка грязезащитная,6,0.1072769533345253
,доска палубная,2,0.03575898444484177
