gm_name,gm_alt_name,gm_synonyms,counts
Стержни для клеевых пистолетов,СТЕРЖНИ ДЛЯ КЛЕЕВЫХ ПИСТОЛЕТОВ,,32
Экструдированный пенополистирол (XPS),ЭКСТРУДИРОВАННЫЙ ПЕНОПОЛИСТИРОЛ XPS,"ПЕНОПЛАСТ,ТЕПЛОИЗОЛЯЦИОННАЯ ПЛИТА,КАРБОН,ЭКСТРУЗИЯ,ЭКСТРУЗИОННЫЙ ПЕНОПОЛИСТИРОЛ,ЭКСТРУД,ПЕНОПОЛИСТИРОЛ,ПЕНОПОЛИСТЕРОЛ",1
Лестничные ступени,ЛЕСТНИЧНЫЕ СТУПЕНИ,,18
Стеклообои,СТЕКЛООБОИ,СТЕКЛООБОИ ПОД ПОКРАСКУ,118
Очки защитные,ОЧКИ ЗАЩИТНЫЕ,,83
Душевые системы,ДУШЕВЫЕ СИСТЕМЫ,"НАБОР ДЛЯ ДУША,ДУШЕВОЙ ГАРНИТУР",74
Доска обрезная,ДОСКА ОБРЕЗНАЯ,"ДЕРЕВО И ПИЛОМАТЕРИАЛЫ,ДОСКА,ДОСКА ОБРЕЗНАЯ,ПИЛОМАТЕРИАЛ,ПИЛОМАТЕРИАЛ ОБРЕЗНОЙ,ПИЛОМАТЕРИАЛЫ,ППИЛОМАТЕРИАЛЫ,LJCRF",2
компонент изолан,КОМПОНЕНТ ИЗОЛАН,,1
Пена монтажная,ПЕНА МОНТАЖНАЯ,"ПЕНА МОНЬАЖНАЯ,ПЕНА МАНТАЖНАЯ,МОНТАЖ,МОНТА,БАЛЛОН ПЕНЫ,VJYNF,PENA MONTAJNAY,GTYF,ПЕНА МОНТ,ПЕНА,МОНТАЖНАЯПЕНА,МОНТАЖКА",1
Плитка керамическая,ПЛИТКА КЕРАМИЧЕСКАЯ,"ПЛИТКА НАСТЕННАЯ,КАФЕЛЬНАЯ ПЛИТКА,ПЛИТКА ОБЛИЦОВОЧНАЯ",64
Саморезы,САМОРЕЗЫ,,1483
Наливные полы,НАЛИВНЫЕ ПОЛЫ,"НЕВЕЛИР,НИВЕЛИРУЮЩАЯ СМЕСЬ,НИВЕЛИР,РОВНИТЕЛЬ ПОЛА,ВЫРАВНИВАТЕЛЬ,САМОНИВЕЛИРУЮЩАЯ,СМЕСЬ ДЛЯ ПОЛА,СТЯЖКА",1
Электрод сварочный,ЭЛЕКТРОД СВАРОЧНЫЙ,"ЕЛЕКРОДЫ,ЭЛЕКТРОДЬ,ЭЛЕКТРОДЫ,ЭЛЕКТРОД,ЭЛЕКРОДЬ,KTRNHJLS,ОК-46",6
Декоративные штукатурки,ШТУКАТУРКА ДЕКОРАТИВНАЯ,"КОРОЕД,КАМЕШКОВАЯ,БАРАШЕК,ДЕКОРАТИВКА,ШТУКАТУРКА ЗЕРНИСТАЯ,ШУБА",1
горелка газовая сварочная,ГОРЕЛКА ГАЗОВАЯ СВАРОЧНАЯ,,7
Гирлянды-занавеси,СВЕТОДИОДНАЯ ГИРЛЯНДА-ЗАНАВЕС,"ПОД КРЫШУ,ОКОННЫЕ,НА ОКНО,НА КРЫШУ,НА ДВЕРЬ,НА ВИТРИНУ,ВОДОПАД,ВИТРИННЫЕ",5
Крепление для пгп,КРЕПЛЕНИЕ ДЛЯ ПГП,"СКОБА ДЛЯ ПАЗОГРЕБНЕВОЙ ПЛИТЫ,СКОБА ДЛЯ ПГП",1
минилубрикатор,МИНИЛУБРИКАТОР,,1
Лист металлический,ЛИСТ МЕТАЛЛИЧЕСКИЙ,"ЛИСТ МЕТАЛ,МЕТАЛОПРОКАТ,МЕТАЛЛОПРОКАТ,ЛИСТ СТАЛЬНОЙ,VTNFKKJGHJRFN,ЛИСТ МЕТАЛЛИЧЕСКИЙ",1
Напыляемый утеплитель,НАПЫЛЯЕМЫЙ УТЕПЛИТЕЛЬ,УТЕПЛИТЕЛЬ В БАЛЛОНЕ,2
Электроножницы по металлу,ЭЛЕКТРОНОЖНИЦЫ ПО МЕТАЛЛУ,"YBWS,ЭЛЕКТРОИНСТРУМЕНТЫ,ЭЛЕКТРОИНСТРУМЕНТ,НОЖНИЦЫ,KTRNHJBYCNHEVTYNS,KTRNHJYJ,KTRNHJBYCNHEVTYN",5
блок управления и сигнализации,БЛОК УПРАВЛЕНИЯ И СИГНАЛИЗАЦИИ,,1
Блоки газобетонные,БЛОКИ ГАЗОБЕТОННЫЕ,"ГАЗОБЛОК,ГАЗОСИЛИКАТ,ГАЗОСИЛИКАТНЫЙ,ПЕНОБЛОК,СТРОИТЕЛЬНЫЕ БЛОКИ,ГАЗОБЕТОН",36
Минеральная вата,МИНЕРАЛЬНАЯ ВАТА,"ТЕПЛОИЗОЛЯЦИЯ,МИНВАТА,МИН ПЛИТА,СТЕКЛОВОЛОКНИСТЫЙ,БАЗАЛЬТОВЫЙ УТЕПЛИТЕЛЬ,СТЕКЛОВАТА",13
Брусчатка,БРУСЧАТКА,,133
Профили для плитки,ПРОФИЛИ ДЛЯ ПЛИТКИ,"ЗАКЛАДКА,УГОЛОК,УГОЛКИ ПОД ПЛИТКУ,РАСКЛАДКА,ПРОФИЛЬ,ПЛАНКА,ДЛЯ ПЛИТКИ",13
Вагонка,ВАГОНКА,"ВАГОНКА,ППИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛ ОБРЕЗНОЙ,ПИЛОМАТЕРИАЛ,DFUJYRF,ДЕРЕВО И ПИЛОМАТЕРИАЛЫ",7
Заборные решетки,СЕТКА ДЛЯ ОГРАЖДЕНИЯ,"ОБЩЕСТРОИТЕЛЬНАЯ,РЕШЕТКА САДОВАЯ,СЕТКА ДЛЯ ОГРАЖДЕНИЯ",12
песчано-гравийная смесь,ПЕСЧАНО-ГРАВИЙНАЯ СМЕСЬ,,2
Дефлектор,ДЕФЛЕКТОР,,7
Ленточные шлифмашины,ШЛИФМАШИНЫ ЛЕНТОЧНЫЕ,"KTRNHJBYCNHEVTYN,KTRNHJBYCNHEVTYNS,ЛШМ,ЭЛЕКТРОИНСТРУМЕНТ,ЭЛЕКТРОИНСТРУМЕНТЫ,ШЛИФМАШИНЫ",1
Сэндвич-панели,СЭНДВИЧ ПАНЕЛИ,СЕНДВИЧ,171
Межкомнатные двери,МЕЖКОМНАТНЫЕ ДВЕРИ,"КОМПЛЕКТ ДВЕРИ,ПОЛОТНО ДВЕРНОЕ,БЛОК ДВЕРНОЙ,СБОР ДВЕРИ",275
Наливные полы,НАЛИВНЫЕ ПОЛЫ,"ВЫРАВНИВАТЕЛЬ,НИВЕЛИР,НИВЕЛИРУЮЩАЯ СМЕСЬ,НЕВЕЛИР,СТЯЖКА,СМЕСЬ ДЛЯ ПОЛА,САМОНИВЕЛИРУЮЩАЯ,РОВНИТЕЛЬ ПОЛА",1
Круг отрезной,КРУГ ОТРЕЗНОЙ,"КРУГ ПО МЕТАЛЛУ,КРУГ ПО МЕТАЛУ,ДИСК ОТРЕЗНОЙ,RHEU GJ VTNFKE,RHEU GJ VTNNFKRE,ДИСК",2
Пропитка декоративно-защитная для дерева,ПРОПИТКА ДЕКОРАТИВНО-ЗАЩИТНАЯ ДЛЯ ДЕРЕВА,"ДЕРЕВОЗАЩИТА,ЛЕССИРУЮЩИЙ АНТИСЕПТИК,МОРИЛКА,ДВЗ",1
Проволока,ПРОВОЛОКА,"VTNFKKJGHJRFN,GHJDJKJRF,ПРОВОЛКА,GHJDJKRF,МЕТАЛОПРОКАТ,МЕТАЛЛОПРОКАТ",5
Душевые кабины,ДУШЕВЫЕ КАБИНЫ,"ДУШЕВЫЕ КАБИНЫ,ДУШЕВЫЕ УГОЛКИ,ДУШЕВЫЕ БОКСЫ,LEITDST RF,BYS",1
Болгарки (УШМ),ШЛИФМАШИНА УГЛОВАЯ ЭЛЕКТРИЧЕСКАЯ,"УГЛОШЛИФОВАЛЬНАЯ МАШИНА,УГЛОВАЯ ШЛИФОВАЛЬНАЯ МАШИНА,ЭЛЕКТРОИНСТРУМЕНТЫ,KTRNHJBYCNHEVTYNS,БОЛГАРКА,ЭЛЕКТРОИНСТРУМЕНТ",3
Обдирочный круг для ушм,ОБДИРОЧНЫЙ КРУГ ДЛЯ УШМ,,5
Бензопилы,ПИЛА ЦЕПНАЯ БЕНЗИНОВАЯ,"KTRNHJBYCNHEVTYN,БЕНЗИНОВАЯ ПИЛА,ЭЛЕКТРОИНСТРУМЕНТЫ,ЭЛЕКТРОИНСТРУМЕНТ,БЕНЗОПИЛА,ПИЛА ЦЕПНАЯ,GBKF WTGYFZ,,TYPJGBKF",1
Уголок металлический,УГОЛОК МЕТАЛЛИЧЕСКИЙ,"УГОЛОК,VTNFKKJGHJRFN,МЕТАЛЛОПРОКАТ,МЕТАЛОПРОКАТ,УГОЛОК МЕТАЛЛ,УГОЛОК МЕТАЛИЧЕСКИЙ,УГОЛОК МЕТАЛЛИЧЕСКИЙ",2
Электропривод для линейных клапанов,ЭЛЕКТРОПРИВОД ДЛЯ ЛИНЕЙНЫХ КЛАПАНОВ,,1
Бетономешалки,БЕТОНОМЕШАЛКИ,"БЕТОНОСМЕСИТЕЛЬ,БЕТОНЬЕРКА,МЕШАЛКА,РАСТВОРОСМЕСИТЕЛЬ,БЕТОНКА",10
Пружина дверная,ПРУЖИНА ДВЕРНАЯ,,7
Брус обрезной,БРУС ОБРЕЗНОЙ,",HEC,ДЕРЕВО И ПИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛ,ПИЛОМАТЕРИАЛ ОБРЕЗНОЙ,ПИЛОМАТЕРИАЛЫ,БРУС ОБРЕЗНОЙ,ППИЛОМАТЕРИАЛ,БРУС",2
Планка соединительная,ПЛАНКА СОЕДИНИТЕЛЬНАЯ,"H-ПРОФИЛЬ,СТЫКОВОЧНЫЙ ПРОФИЛЬ,СТЫКОВОЧНАЯ ПЛАНКА",23
Скважинные насосы,СКВАЖИННЫЕ НАСОСЫ,"КОЛОДЕЗНЫЙ,ЦЕНТРОБЕЖНЫЙ,ПОГРУЖНОЙ,ГЛУБИННЫЙ",6
Нивелиры лазерные,НИВЕЛИРЫ ЛАЗЕРНЫЕ,"ЛАЗЕРНЫЙ УКЛОНОМЕР,KFPTHYSQ EHJDTYM,ЛАЗЕРНЫЙ УРОВЕНЬ,ЭЛЕКТРОИНСТРУМЕНТ,ЭЛЕКТРОИНСТРУМЕНТЫ,KTRNHJBYCNHEVTYN,KTRNHJBYCNHEVTYNS",2
Пена монтажная,ПЕНА МОНТАЖНАЯ,"ПЕНА МОНТ,МОНТАЖ,МОНТАЖКА,МОНТА,МОНТАЖНАЯПЕНА,БАЛЛОН ПЕНЫ,VJYNF,PENA MONTAJNAY,GTYF,ПЕНА,ПЕНА МАНТАЖНАЯ,ПЕНА МОНЬАЖНАЯ",1
труба пвх гибкая,ТРУБА ПВХ ГИБКАЯ,,4
Опора скользящая для стропил,ОПОРА СКОЛЬЗЯЩАЯ ДЛЯ СТРОПИЛ,,6
установка повышенного давления,УСТАНОВКА ПОВЫШЕННОГО ДАВЛЕНИЯ,,3
Светостабилизированные пленки,СВЕТОСТАБИЛИЗИРОВАННЫЕ ПЛЕНКИ,,4
Наборы пневмоинструментов,НАБОРЫ ПНЕВМОИНСТРУМЕНТОВ,,3
Погонажные и крепежные изделия,ПОГОНАЖНЫЕ И КРЕПЕЖНЫЕ ИЗДЕЛИЯ,"ПОГОНАЖНЫЕ,ППИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛЫ,ПОГОНАЖ,ПИЛОМАТЕРИАЛ ОБРЕЗНОЙ,ДЕРЕВО И ПИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛ",1
Лист металлический,ЛИСТ МЕТАЛЛИЧЕСКИЙ,"VTNFKKJGHJRFN,МЕТАЛЛОПРОКАТ,ЛИСТ СТАЛЬНОЙ,МЕТАЛОПРОКАТ,ЛИСТ МЕТАЛ,ЛИСТ МЕТАЛЛИЧЕСКИЙ",1
Штроборезы,ШТРОБОРЕЗЫ,"KTRNHJBYCNHEVTYNS,KTRNHJBYCNHEVTYN,ЭЛЕКТРОИНСТРУМЕНТЫ,ЭЛЕКТРОИНСТРУМЕНТ,INHJ,JHTP,БОРОЗДОДЕЛ",5
Бумажные полотенца,БУМАЖНЫЕ ПОЛОТЕНЦА,,2
щит вру,ЩИТ ВРУ,,2
Дренажные насосы,ДРЕНАЖНЫЕ НАСОСЫ,"ФЕКАЛЬНЫЙ,ДЛЯ ВЫГРЕБНЫХ ЯМ,ПОГРУЖНОЙ,ДЛЯ СЕПТИКА",4
комнатный термостат,КОМНАТНЫЙ ТЕРМОСТАТ,,44
Зеркала для ванной,ЗЕРКАЛА ДЛЯ ВАННОЙ,"ЗЕРКАЛА ДЛЯ ВАННОЙ,ШКАФ ЗЕРКАЛЬНЫЙ,ЗЕРКАЛА,ЗЕРКАЛЬНЫЕ ШКАФЫ ДЛЯ ВАННОЙ,ЗЕРКАЛЬНЫЙ ШКАФ",2
колено для раздельного дымохода,КОЛЕНО ДЛЯ РАЗДЕЛЬНОГО ДЫМОХОДА,,5
Ванны,ВАННЫ,"ВАННА,ВАННА АКРИЛОВАЯ,СТАЛЬНЫЕ ВАННЫ,АКРИЛОВЫЕ ВАННЫ,ЧУГУННЫЕ ВАННЫ,АКРИЛ",2
Проволока,ПРОВОЛОКА,"МЕТАЛОПРОКАТ,ПРОВОЛКА,VTNFKKJGHJRFN,МЕТАЛЛОПРОКАТ,GHJDJKRF,GHJDJKJRF",3
Строительные сетки,СТРОИТЕЛЬНЫЕ СЕТКИ,"СЕТКА МАЛЯРНАЯ,СЕТКА ФАСАДНАЯ,СЕТКА СТЕКЛЯННАЯ,СЕТКА СТЕКЛОТКАНЕВАЯ,СТЕКЛОСЕТКА,СЕТКА ШТУКАТУРНАЯ",2
стойка пристенной перфорированной полки,СТОЙКА ПРИСТЕННОЙ ПЕРФОРИРОВАННОЙ ПОЛКИ,,2
Виниловый сайдинг,ВИНИЛОВЫЙ САЙДИНГ,,123
Песок,ПЕСОК,"БРОЗЕКС,ПЕСОК,BROZEX",2
Стопор для карнизов,СТОПОР ДЛЯ КАРНИЗОВ,ФИКСАТОР,3
Пленки полиэтиленовые,ПЛЕНКИ ПОЛИЭТИЛЕНОВЫЕ,"ЦЕЛОФАН,ПЛЕНКА ПЭ,ПЛЕНКА П/Э,ЦЕЛОФА",3
Ванны,ВАННЫ,"ВАННА АКРИЛОВАЯ,ВАННА,АКРИЛОВЫЕ ВАННЫ,СТАЛЬНЫЕ ВАННЫ,ЧУГУННЫЕ ВАННЫ,АКРИЛ",11
Кладочные и монтажные смеси,КЛАДОЧНЫЕ И МОНТАЖНЫЕ СМЕСИ,"БЛОЧНЫЙ КЛЕЙ,ГИПСОБЕТОН,КЛАДОЧНАЯ СМЕСЬ,КЛАДОЧНЫЙ РАСТВОР,КЛАДОЧНЫЙ СОСТАВ,КЛЕЙ ДЛЯ БЛОКОВ,МОНТАЖНАЯ СМЕСЬ,МОНТАЖНЫЙ СОСТАВ",20
Порожки,ПОРОЖКИ,"ПОРОГ-СТЫК,ПРОФИЛЬ,ПОРОГ,ПОРОЖЕК,ПОРОГ-УГОЛ",5
Вибрационные шлифмашины,ШЛИФМАШИНЫ ВИБРАЦИОННЫЕ,"ВИБРАЦИОННАЯ ШЛИФОВАЛЬНАЯ МАШИНА,ВИБРАЦИОННАЯ ШЛИФМАШИНА,ЭЛЕКТРОИНСТРУМЕНТЫ,ДЕЛЬТАШЛИФМАШИНА,ЭЛЕКТРОИНСТРУМЕНТ",1
Проволока,ПРОВОЛОКА,"МЕТАЛОПРОКАТ,МЕТАЛЛОПРОКАТ,GHJDJKRF,VTNFKKJGHJRFN,GHJDJKJRF,ПРОВОЛКА",2
Стол для пикника,СТОЛ ДЛЯ ПИКНИКА,,24
Заглушка под конфирмат,ЗАГЛУШКА ПОД КОНФИРМАТ,"ЗАГЛУШКА ПОД МЕБЕЛЬНЫЙ ШУРУП,МЕБЕЛЬНАЯ ЗАГЛУШКА,ЗАГЛУШКА ПОД САМОРЕЗ",18
Ножки для ванны,НОЖКИ ДЛЯ ВАННЫ,"НОЖКИ ДЛЯ ВАННЫ,ОПОРЫ ДЛЯ ВАННЫ,НОЖКИ ДЛЯ ПОДДОНА,НОЖКИ ДЛЯ ДУШЕВОГО ПОДДОНА",1
колено промежуточное универсальное,КОЛЕНО ПРОМЕЖУТОЧНОЕ УНИВЕРСАЛЬНОЕ,,2
Экструдированный пенополистирол (XPS),ЭКСТРУДИРОВАННЫЙ ПЕНОПОЛИСТИРОЛ XPS,"ПЕНОПОЛИСТЕРОЛ,КАРБОН,ПЕНОПЛАСТ,ПЕНОПОЛИСТИРОЛ,ТЕПЛОИЗОЛЯЦИОННАЯ ПЛИТА,ЭКСТРУД,ЭКСТРУЗИОННЫЙ ПЕНОПОЛИСТИРОЛ,ЭКСТРУЗИЯ",1
кнопки металлические,КНОПКИ МЕТАЛЛИЧЕСКИЕ,,1
сетка крепежная для пенебар,СЕТКА КРЕПЕЖНАЯ ДЛЯ ПЕНЕБАР,СКОБА КРЕПЕЖНАЯ ДЛЯ ПЕНЕБАР,2
Декоративные штукатурки,ШТУКАТУРКА ДЕКОРАТИВНАЯ,"ШУБА,ДЕКОРАТИВКА,КАМЕШКОВАЯ,БАРАШЕК,ШТУКАТУРКА ЗЕРНИСТАЯ,КОРОЕД",134
асфальтовая крошка,АСФАЛЬТОВАЯ КРОШКА,,6
Держатель зубных  щеток,ДЕРЖАТЕЛЬ ЗУБНЫХ ЩЕТОК,,2
Кронштейны для телевизоров,КРОНШТЕЙН ДЛЯ ТЕЛЕВИЗОРА И МОНИТОРА,,117
колер машинный,КОЛЕР МАШИННЫЙ,,39
Оберточная бумага,ОБЕРТОЧНАЯ БУМАГА,,7
Сетка сварная,СЕТКА СВАРНАЯ,"СЕТКА ДОРОЖНАЯ,СЕТКА АРМАТУРНАЯ,СЕТКА ИЗ ПРОВОЛОКИ,СЕТКА КАРТА,СЕТКА МЕТАЛЛИЧЕСКАЯ,КЛАДОЧНАЯ СЕТКА,СЕТКА РУЛОН",3
сменные ножи для триммера,СМЕННЫЕ НОЖИ ДЛЯ ТРИММЕРА,,22
Зеркала для ванной,ЗЕРКАЛА ДЛЯ ВАННОЙ,"ЗЕРКАЛА,ЗЕРКАЛА ДЛЯ ВАННОЙ,ЗЕРКАЛЬНЫЕ ШКАФЫ ДЛЯ ВАННОЙ,ШКАФ ЗЕРКАЛЬНЫЙ,ЗЕРКАЛЬНЫЙ ШКАФ",1
Наливные полы,НАЛИВНЫЕ ПОЛЫ,"СМЕСЬ ДЛЯ ПОЛА,САМОНИВЕЛИРУЮЩАЯ,РОВНИТЕЛЬ ПОЛА,НЕВЕЛИР,НИВЕЛИРУЮЩАЯ СМЕСЬ,СТЯЖКА,ВЫРАВНИВАТЕЛЬ,НИВЕЛИР",1
Рулонная гидроизоляция,РУЛОННАЯ ГИДРОИЗОЛЯЦИЯ,"ГИДРОИЗОЛЯЦИОННАЯ ПЛЕНКА,РУБИРОЙД,РУБИРОИТ,РУБИРОИД,РУБЕРОИТ,РУБЕРОИД,РУЛОННАЯ ГИДРОИЗОЛЯЦИЯ,РУЛОНКА,КРОВЛЯ РУЛОННАЯ",41
Ленточные шлифмашины,ШЛИФМАШИНЫ ЛЕНТОЧНЫЕ,"ШЛИФМАШИНЫ,ЭЛЕКТРОИНСТРУМЕНТЫ,ЭЛЕКТРОИНСТРУМЕНТ,KTRNHJBYCNHEVTYNS,ЛШМ,KTRNHJBYCNHEVTYN",3
Ножки для ванны,НОЖКИ ДЛЯ ВАННЫ,"НОЖКИ ДЛЯ ВАННЫ,НОЖКИ ДЛЯ ДУШЕВОГО ПОДДОНА,НОЖКИ ДЛЯ ПОДДОНА,ОПОРЫ ДЛЯ ВАННЫ",12
Крюк для картины,КРЮК ДЛЯ КАРТИНЫ,КРЮЧОК,4
Пьедесталы,ПЬЕДЕСТАЛЫ,,110
Нивелиры оптические,НИВЕЛИРЫ ОПТИЧЕСКИЕ,"RKBPBVTNH,YBDTKBHS,ЭЛЕКТРОИНСТРУМЕНТ,КЛИЗИМЕТР,НИВЕЛИРЫ,KTRNHJBYCNHEVTYNS,ЭЛЕКТРОИНСТРУМЕНТЫ,KTRNHJBYCNHEVTYN",4
Нивелиры оптические,НИВЕЛИРЫ ОПТИЧЕСКИЕ,"KTRNHJBYCNHEVTYN,ЭЛЕКТРОИНСТРУМЕНТЫ,KTRNHJBYCNHEVTYNS,НИВЕЛИРЫ,КЛИЗИМЕТР,ЭЛЕКТРОИНСТРУМЕНТ,YBDTKBHS,RKBPBVTNH",2
Розетки,РОЗЕТКА,,622
Пленки полиэтиленовые,ПЛЕНКИ ПОЛИЭТИЛЕНОВЫЕ,"ПЛЕНКА П/Э,ЦЕЛОФАН,ЦЕЛОФА,ПЛЕНКА ПЭ",14
Швеллер,ШВЕЛЛЕР,"ШВЕЛЕР МЕТАЛЛ,МЕТАЛЛОПРОКАТ,МЕТАЛОПРОКАТ,ШВЕЛЛЕР ГОСТ,ШВЕЛЛЕР СТАЛЬ,VTNFKKJGHJRFN,IDTKTH,IDTKKTH,ШВЕЛЕР",3
Сигнализатор загазованности,СИГНАЛИЗАТОР ЗАГАЗОВАННОСТИ,"ДАТЧИК ГАЗА,ГАЗ ДЕТЕКТОР,ГАЗОВЫЙ СИГНАЛИЗАТОР,ДАТЧИК ЗАГАЗОВАННОСТИ",1
Шпаклевки,ШПАКЛЕВКА,"ШПАТЛЕВАНИЕ,ШПАКЛЕВАНИЕ,ПРОМАЗКА,ШПАТЛЕВКА,IGFNKTDRF,ЗАМАЗКА,IGFRKTDRF",1
Коробки установочные (подрозетники),КОРОБКА УСТАНОВОЧНАЯ ПОДРОЗЕТНИК,"СТАКАН,ЭЛЕКТРОМОНТАЖНАЯ КОРОБКА,ПОДРОЗЕТНИК,КОРОБКА УСТАНОВОЧНАЯ БЛОЧНАЯ",1
Гипсокартон,ГИПСОКАРТОННЫЙ ЛИСТ,"UBGCJRFHNJY,UBGHJR,ГИПРОК,ГИПСОПЛИТА,ГКЛ,ГКЛВ,ГКЛВО,ГКЛО,ПЕРЕГОРОДКА,ПОДВЕСНОЙ,ПОТОЛОК,ПОТОЛОЧНЫЙ,ГИПСАКАРТОН,12,5ММ",3
воронка бытовая,ВОРОНКА БЫТОВАЯ,,4
Газон,ГАЗОН,,7
Профили для гипсокартона,ПРОФИЛЬ ДЛЯ ГИПСОКАРТОНА,"ГИПСОКАРТОНОВЫЙ ПРОФИЛЬ,КАРКАС,GHJABKM LKZ UBGCJRFHNJYF,МЕТАЛЛИЧЕСКИЙ ПРОФИЛЬ,ОЦИНКОВАННЫЙ ПРОФИЛЬ,ПРОФЕЛЬ",6
Удлинители сетевые,УДЛИНИТЕЛИ СЕТЕВЫЕ,УДЛЕНИТЕЛЬ,359
Фотообои,ФОТООБОИ,"ОБОИ,ФОТОПАННО,ФОТО ОБОИ",2
Замки навесные,ЗАМКИ НАВЕСНЫЕ,ВИСЯЧИЙ ЗАМОК,135
Бетономешалки,БЕТОНОМЕШАЛКИ,"БЕТОНКА,БЕТОНОСМЕСИТЕЛЬ,БЕТОНЬЕРКА,МЕШАЛКА,РАСТВОРОСМЕСИТЕЛЬ",8
сетка абразивная,СЕТКА АБРАЗИВНАЯ,,10
замок полипропиленовый,ЗАМОК ПОЛИПРОПИЛЕНОВЫЙ,,4
Доска профильная,ДОСКА ПРОФИЛЬНАЯ,"ПИЛОМАТЕРИАЛ ОБРЕЗНОЙ,ДОСКА,ППИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛЫ,ДЕРЕВО И ПИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛ",1
Чугунный трап,ЧУГУННЫЙ ТРАП,,7
Потолки Грильято,ПОТОЛКИ ГРИЛЬЯТО,"UHBKMZNJ ПОТОЛКИ ГРИЛЬЯТО,ГРИЛЬЯТО,GJNJKRB UHBKMZNJ",18
Лобзики,ЭЛЕКТРИЧЕСКИЙ ЛОБЗИК,"ЭЛЕКТРОИНСТРУМЕНТЫ,ЭЛЕКТРОЛОБЗИК,ЭЛЕКТРОИНСТРУМЕНТ,KTRNHJBYCNHEVTYNS,KTRNHJBYCNHEVTYN,KTRNHJKJ,PBR",1
Экструдированный пенополистирол (XPS),ЭКСТРУДИРОВАННЫЙ ПЕНОПОЛИСТИРОЛ XPS,"ЭКСТРУЗИОННЫЙ ПЕНОПОЛИСТИРОЛ,ПЕНОПЛАСТ,ЭКСТРУД,ЭКСТРУЗИЯ,КАРБОН,ПЕНОПОЛИСТЕРОЛ,ПЕНОПОЛИСТИРОЛ,ТЕПЛОИЗОЛЯЦИОННАЯ ПЛИТА",3
Угловые вентили,УГЛОВЫЕ ВЕНТИЛИ,"ПЕРЕКЛЮЧАЮЩИЕ ВЕНТИЛИ,ЗАПОРНЫЕ ВЕНТИЛИ",2
насадка для технического фена,НАСАДКА ДЛЯ ТЕХНИЧЕСКОГО ФЕНА,,6
Дверные ограничители,ОГРАНИЧИТЕЛЬ ДВЕРИ,"ОГРАНИЧИТЕЛЬ ХОДА ДВЕРИ,ФИКСАТОР ДВЕРИ,УПОР ДВЕРНОЙ,СТОПОР,ДВЕРНОЙ КЛИН,ОГРАНИЧИТЕЛЬ ОТКРЫВАНИЯ ДВЕРИ",2
Бензопилы,ПИЛА ЦЕПНАЯ БЕНЗИНОВАЯ,"KTRNHJBYCNHEVTYN,БЕНЗИНОВАЯ ПИЛА,БЕНЗОПИЛА,ЭЛЕКТРОИНСТРУМЕНТЫ,ЭЛЕКТРОИНСТРУМЕНТ,ПИЛА ЦЕПНАЯ,GBKF WTGYFZ,,TYPJGBKF",1
Профиль для поликарбоната,ПРОФИЛЬ ДЛЯ ПОЛИКАРБОНАТА,"ПОЛИКАРБОНАТ,ПРОФИЛЬ,СОЕДЕНИТЕЛЬНЙ ПРОФИЛЬ",7
Шпаклевки,ШПАКЛЕВКА,"ШПАТЛЕВКА,ПРОМАЗКА,ЗАМАЗКА,IGFRKTDRF,IGFNKTDRF,ШПАКЛЕВАНИЕ,ШПАТЛЕВАНИЕ",1
Сумка-холодильник,СУМКА-ХОЛОДИЛЬНИК,,3
Крепеж для парников и теплиц,КРЕПЕЖ ДЛЯ ПАРНИКОВ И ТЕПЛИЦ,ПРИЖИМЫ,1
Чугунные угольники,ЧУГУННЫЕ УГОЛЬНИКИ,,7
Проволока,ПРОВОЛОКА,"VTNFKKJGHJRFN,ПРОВОЛКА,МЕТАЛОПРОКАТ,GHJDJKJRF,GHJDJKRF,МЕТАЛЛОПРОКАТ",1
Соединители для плинтусов,СОЕДИНИТЕЛИ ДЛЯ ПЛИНТУСОВ,"СТЫК,СОЕДИНИТЕЛЬНЫЙ ЭЛЕМЕНТ,СТЫКОВОЧНЫЙ ЭЛЕМЕНТ",13
Проушины для замков,ПРОУШИНЫ ДЛЯ ЗАМКОВ,"УШКИ ДЛЯ ЗАМКА,ПЕТЛЯ ДЛЯ НАВИСНОГО ЗАМКА",16
Пылесосы строительные,ПЫЛЕСОСЫ СТРОИТЕЛЬНЫЕ,"GSKTCJC,GSKTCJCS,ЭЛЕКТРОИНСТРУМЕНТЫ,ПЫЛЕСОС,ЭЛЕКТРОИНСТРУМЕНТ,KTRNHJBYCNHEVTYN,KTRNHJBYCNHEVTYNS,ПЫЛЕСОСЫ",1
Пропитка защитная для дерева,ПРОПИТКА ЗАЩИТНАЯ ДЛЯ ДЕРЕВА,"ДЕРЕВОЗАЩИТА,ДВЗ,ОГНЕЗАЩИТА,БИОЗАЩИТА",43
Ролики для триммеров,РОЛИКИ ДЛЯ ТРИММЕРОВ,,1
